	context	question-X	canquestion-X	answer-Y	judgements	goldstandard1	goldstandard2	Label	Annotation_1	Annotation_2	Annotation_3	Annotation_4	Annotation_5
1754	Y has just travelled from a different city to meet X.	Are you leaving tomorrow?	I am leaving tomorrow .	We are going to the comedy show tomorrow, remember?	No#No#No#No#No	No	No	2	2	2	2	2	2
1755	X wants to know what sorts of books Y likes to read.	Do you like fantasy novels?	I like fantasy novels .	I love Trudi Canavan novels about magic.	Yes#Yes#Yes#Yes#Probably yes / sometimes yes	Yes	Yes	1	1	1	1	1	1
1756	X wants to know what activities Y likes to do during weekends.	Are you looking to meet people?	I am looking to meet people .	I'm happy on my own.	Probably no#No#No#No#No	No	No	2	2	2	2	2	2
1757	Y has just told X that he/she is considering switching his/her job.	Are you getting any benefits?	I am getting benefits .	The benefits are the main reason I chose this job.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1758	X wants to know about Y's music preferences.	Do you like metal and loud music?	I like metal and loud music .	I prefer soothing music.	No#No#No#No#No	No	No	2	2	2	2	2	2
1759	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you like cheeseburgers?	I like cheeseburgers .	Especially if they are grilled.	Yes#Probably yes / sometimes yes#Yes#Probably yes / sometimes yes#Yes	Yes	Yes	1	1	1	1	1	1
1760	X and Y are colleagues who are leaving work on a Friday at the same time.	Was your week okay?	My week was okay .	It was hard work.	No#Probably no#No#I am not sure how X will interpret Y’s answer#In the middle, neither yes nor no		No	2	2	2	2	4	4
1761	X and Y are colleagues who are leaving work on a Friday at the same time.	Did your day go well?	My day did go well .	It wasn't as bad as yesterday.	Probably yes / sometimes yes#In the middle, neither yes nor no#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes	Probably yes / sometimes yes	Yes	1	1	4	1	1	1
1762	Y has just told X that he/she is considering switching his/her job.	Do you work a morning shift?	I work a morning shift .	sometimes I have to	Yes, subject to some conditions#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes	Probably yes / sometimes yes	Yes	1	3	1	1	1	1
1763	Y has just told X that he/she is thinking of buying a flat in New York.	Do you like to have a lot of furniture?	I like to have a lot of furniture .	I prefer open space.	Probably no#No#No#Probably no#No	No	No	2	2	2	2	2	2
1764	Y has just told X that he/she is thinking of buying a flat in New York.	Are you open to having roommates?	I am open to having roommates .	If I can't afford it on my own.	Yes, subject to some conditions#Yes, subject to some conditions#Yes#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	1	3	3
1765	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Is your family well?	My family is well .	Everyone is doing great.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1766	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Are you still working as a lawyer?	I am working as a lawyer .	I have my own practice.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1767	Y has just told X that he/she is thinking of buying a flat in New York.	You said your price range was $3,000 a month, right?	I said my price range was $ 3,000 a month , right .	3,500 is our maximum budget.	No#No#I am not sure how X will interpret Y’s answer#Probably no#No	No	No	2	2	2	4	2	2
1768	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you still sleep with the lights on?	I sleep with the lights on .	I'm not a scaredy cat anymore.	Probably no#No#No#No#No	No	No	2	2	2	2	2	2
1769	X wants to know what activities Y likes to do during weekends.	Are you looking to meet people?	I am looking to meet people .	I need to make new friends.	Yes#Yes#Yes#Probably yes / sometimes yes#Yes	Yes	Yes	1	1	1	1	1	1
1770	Y has just told X that he/she is considering switching his/her job.	Have you ever worked in a kitchen?	I have ever worked in a kitchen .	My first job was prepping food at a restaurant.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1771	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you like the neighborhood so far	I do I like the neighborhood so far .	It's as lovely as I hoped it would be.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1772	X wants to know what activities Y likes to do during weekends.	Are you afraid of heights?	I am afraid of heights .	It depends on how far away from the edge I am.	Yes, subject to some conditions#Probably yes / sometimes yes#Yes, subject to some conditions#Yes, subject to some conditions#In the middle, neither yes nor no	Yes, subject to some conditions	Yes, subject to some conditions	3	3	1	3	3	4
1773	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Did you move here for work?	I did move here for work .	I work from home.	No#No#Probably no#Probably no#No	No	No	2	2	2	2	2	2
1774	Y has just travelled from a different city to meet X.	Did you have a good flight?	I did have a good flight .	My flight was very good	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1775	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Are you a heavy sleeper?	I am a heavy sleeper .	I wake up at the drop of a hat.	No#No#No#No#No	No	No	2	2	2	2	2	2
1776	Y has just told X that he/she is thinking of buying a flat in New York.	Have you researched the areas you are interested in?	I have researched the areas I am interested in .	Extensively.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1777	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you have plans for this evening?	I have plans for this evening .	I'm going to the cinema, to see the new Star Wars.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1778	X and Y are colleagues who are leaving work on a Friday at the same time.	Will you take the subway back?	I will take the subway back .	I'm walking.	No#No#No#No#No	No	No	2	2	2	2	2	2
1779	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do your parents still live in your old house?	My parents live in my old house .	They sold it a couple years ago.	No#No#No#No#No	No	No	2	2	2	2	2	2
1780	Y has just told X that he/she is thinking of buying a flat in New York.	Have you met your new neighbors?	I have met my new neighbors .	I've only met the doorman.	No#No#No#No#No	No	No	2	2	2	2	2	2
1781	Y has just travelled from a different city to meet X.	do you want to go swimming?	I want to go swimming .	I can't swim in this temperature.	No#No#No#No#No	No	No	2	2	2	2	2	2
1782	X wants to know what activities Y likes to do during weekends.	Have you ever been skydiving?	I have ever been skydiving .	Risking my life doesn't particularly appeal to me.	No#No#No#No#No	No	No	2	2	2	2	2	2
1783	Y has just told X that he/she is thinking of buying a flat in New York.	Did you consult with your partner/parents?	I did consult with my partner/parents .	I'm flying solo.	No#Probably no#No#No#No	No	No	2	2	2	2	2	2
1784	Y has just travelled from a different city to meet X.	Do you enjoy live music?	I enjoy live music .	I prefer listening to the radio.	No#No#Probably no#Probably no#Probably no	Probably no	No	2	2	2	2	2	2
1785	X wants to know about Y's music preferences.	Is classical music your favorite?	Classical music is my favorite .	I can't think of anything more soothing than Beethoven.	Yes, subject to some conditions#Probably yes / sometimes yes#Yes#Yes#Yes, subject to some conditions		Yes	1	3	1	1	1	3
1786	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you want to go for a drink?	I want to go for a drink .	I have to go home and make dinner.	No#No#No#No#No	No	No	2	2	2	2	2	2
1787	Y has just told X that he/she is thinking of buying a flat in New York.	Is it in a safe neighborhood?	It is in a safe neighborhood .	The crime rate report is good	Yes#Yes#Yes#Probably yes / sometimes yes#Yes	Yes	Yes	1	1	1	1	1	1
1788	X wants to know about Y's music preferences.	Do you regularly attend concerts?	I attend concerts .	I go to at least one every month.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1789	X wants to know what activities Y likes to do during weekends.	Do you enjoy dining out?	I enjoy dining out .	I often go to the restaurant.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1790	X and Y are colleagues who are leaving work on a Friday at the same time.	Did you drive to work today?	I did drive to work today .	I have a bus pass.	No#No#No#No#Probably no	No	No	2	2	2	2	2	2
1791	Y has just told X that he/she is considering switching his/her job.	Are you bored in your current job?	I am bored in my current job .	Some days are boring	Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Yes, subject to some conditions#Probably yes / sometimes yes	Probably yes / sometimes yes	Yes	1	1	1	1	3	1
1792	X and Y are colleagues who are leaving work on a Friday at the same time.	Fancy a bite to eat at the Indian restaurant up the road ?	I fancy a bite to eat at the Indian restaurant up the road .	I do not like Indian food.	No#No#No#No#No	No	No	2	2	2	2	2	2
1793	X wants to know about Y's food preferences.	Are you a fan of Applebees' new dessert?	I am a fan of Applebees ' new dessert .	I didn't like it.	No#No#No#No#No	No	No	2	2	2	2	2	2
1794	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Are you living in the city now?	I am living in the city now .	I've been downtown for the last two years.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1795	Y has just told X that he/she is thinking of buying a flat in New York.	Do you go to New York often?	I go to New York often .	I have never been there	No#No#No#No#No	No	No	2	2	2	2	2	2
1796	X wants to know about Y's food preferences.	Would you want to go to a steakhouse?	I would want to go to a steakhouse .	It depends on how far away it is.	Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	3	3	3
1797	Y has just travelled from a different city to meet X.	Are you up for a hike tomorrow morning?	I am up for a hike tomorrow morning .	I'm still pretty jetlagged.	No#No#Probably no#Probably no#Probably no	Probably no	No	2	2	2	2	2	2
1798	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Have you been living here for a long time?	I have been living here for a long time .	Only a few weeks.	No#No#No#No#No	No	No	2	2	2	2	2	2
1799	X wants to know what activities Y likes to do during weekends.	I've really been wanting to go back to the arcade this weekend, does that sound like fun to you?	I does that sound like fun to I .	I can't wait to beat your high score.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1800	X wants to know what sorts of books Y likes to read.	Do you get your books from the library?	I get my books from the library .	I buy them sometimes but the library is good for previewing.	Probably yes / sometimes yes#Yes, subject to some conditions#No#Yes#In the middle, neither yes nor no			6	1	3	2	1	4
1801	Y has just travelled from a different city to meet X.	Interested in hitting the outlet mall?	I am interested in hitting the outlet mall .	I hear there are good deals there.	Yes#Yes#Yes#Yes#In the middle, neither yes nor no	Yes	Yes	1	1	1	1	1	4
1802	X and Y are colleagues who are leaving work on a Friday at the same time.	Did you have any plans for tonight?	I did have plans for tonight .	I'm meeting up with someone.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1803	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you have any kids?	I have kids .	I plan on having them in the future.	No#No#No#No#No	No	No	2	2	2	2	2	2
1804	Y has just told X that he/she is thinking of buying a flat in New York.	Will you be on the top floor?	I will be on the top floor .	They said so.	Yes#Yes#Probably yes / sometimes yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1805	X wants to know about Y's music preferences.	Are you into EDM?	I am into EDM .	I prefer classic rock.	Probably no#No#Probably no#No#No	No	No	2	2	2	2	2	2
1806	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Have you met the HOA president?	I have met the HOA president .	I can't say I have	No#No#No#No#No	No	No	2	2	2	2	2	2
1807	Y has just told X that he/she is thinking of buying a flat in New York.	Are you confident you can keep yourself safe in a big city?	I am confident I can keep myself safe in a big city .	I have a gun	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1808	Y has just travelled from a different city to meet X.	Have you made a list of things you'd like to do?	I have made a list of things I 'd like to do .	I have some ideas.	Yes#In the middle, neither yes nor no#Yes#I am not sure how X will interpret Y’s answer#Yes	Yes	Yes	1	1	4	1	4	1
1809	Y has just told X that he/she is thinking of buying a flat in New York.	Can you see the ocean from it?	I can see the ocean from it .	You can only see buildings.	No#No#No#No#No	No	No	2	2	2	2	2	2
1810	X and Y are colleagues who are leaving work on a Friday at the same time.	Fancy going for a drink?	Fancy am going for a drink .	Why not	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1811	Y has just told X that he/she is considering switching his/her job.	Are you in-line for a promotion?	I am in-line for a promotion .	I heard that one of my coworkers was going to get the only promotion available this year.	No#No#Probably no#Probably no#Probably no	Probably no	No	2	2	2	2	2	2
1812	X wants to know about Y's music preferences.	Did you play an instrument at school?	I did play an instrument at school .	I played percussion for many years.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1813	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you like to take walks with your dog?	I like to take walks with my dog .	I like them more than the dog.	Yes#Probably yes / sometimes yes#Yes#Probably no#Yes	Yes	Yes	1	1	1	1	2	1
1814	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you plan on seeing that new movie?	I plan on seeing that new movie .	We'll order tickets tonight.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1815	Y has just told X that he/she is considering switching his/her job.	Are you from Nepal?	I am from Nepal .	I am from California.	No#No#No#No#No	No	No	2	2	2	2	2	2
1816	X wants to know what activities Y likes to do during weekends.	Do you have any pets?	I have pets .	We have budgies.	Yes#Yes#I am not sure how X will interpret Y’s answer#Yes#Yes	Yes	Yes	1	1	1	4	1	1
1817	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Want to grab a coffee one of these days?	I want to grab a coffee one of these days .	Let's go tomorrow before work.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1818	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you like the neighborhood?	I like the neighborhood .	It's packed with things to do.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1819	X wants to know about Y's food preferences.	Do you like biryani?	I like biryani .	I have yet to learn about that.	No#No#No#In the middle, neither yes nor no#In the middle, neither yes nor no	No	No	2	2	2	2	4	4
1820	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Have you been to the area parks yet?	I have been to the area parks yet .	We had a picnic last weekend.	Yes#Yes#I am not sure how X will interpret Y’s answer#Yes#In the middle, neither yes nor no	Yes	Yes	1	1	1	4	1	4
1821	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Are your parents still alive?	My parents am alive .	They are fit and well.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1822	X wants to know what activities Y likes to do during weekends.	Have you ever been water skiing?	I have ever been water skiing .	That seems dangerous.	No#No#No#No#No	No	No	2	2	2	2	2	2
1823	X and Y are colleagues who are leaving work on a Friday at the same time.	Are you going out Saturday night?	I am going out Saturday night .	I might go out to see a movie.	Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes	Probably yes / sometimes yes	Yes	1	1	1	1	1	1
1824	Y has just told X that he/she is thinking of buying a flat in New York.	Are you a frequent visitor to New York?	I am a frequent visitor to New York .	New York is like a second home to me.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1825	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Will you be around for a while?	I will be around for a while .	I'm leaving next week.	No#I am not sure how X will interpret Y’s answer#Probably no#No#No	No	No	2	2	4	2	2	2
1826	X wants to know what activities Y likes to do during weekends.	Have you tried Kayaking?	I have tried Kayaking .	I only know how to row a rowboat.	Probably no#No#No#No#No	No	No	2	2	2	2	2	2
1827	Y has just told X that he/she is considering switching his/her job.	Are you looking for a role with a flexible schedule?	I am looking for a role with a flexible schedule .	That would be ideal.	Yes#Yes#Yes#Probably yes / sometimes yes#Yes	Yes	Yes	1	1	1	1	1	1
1828	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you have kids already?	I have kids .	My kids live with their mom.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1829	Y has just told X that he/she is thinking of buying a flat in New York.	Are you sure this is something that you want to do?	I am sure this is something that I want to do .	It's something I've dreamed of since childhood.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1830	X wants to know about Y's music preferences.	Would you like to see the gig at the town hall next week?	I would like to see the gig at the town hall next week .	If it's free.	Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	3	3	3
1831	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Did you buy the 2 story victorian	I did I buy the 2 story victorian .	For a steal of a deal!	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1832	X wants to know about Y's music preferences.	Have you heard the latest music from Herb Alpert?	I have heard the latest music from Herb Alpert .	I got his new CD last week.	Yes#Yes#Yes#Probably yes / sometimes yes#Yes	Yes	Yes	1	1	1	1	1	1
1833	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Have you been a victim of crime here?	I have been a victim of crime here .	This is a very safe area.	No#No#Probably no#No#Probably no	No	No	2	2	2	2	2	2
1834	X wants to know what sorts of books Y likes to read.	Are you into non-fiction?	I am into non-fiction .	I've read some good autobiographies	Yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes	Probably yes / sometimes yes	Yes	1	1	1	1	1	1
1835	X wants to know about Y's food preferences.	Do you mind seafood?	I mind seafood .	I'm in the mood for crab legs.	Yes, subject to some conditions#No#No#No#Yes	No	No	2	3	2	2	2	1
1836	X wants to know about Y's music preferences.	Have you been to warped tour?	I have been to warped tour .	I don't like music festivals.	No#No#No#No#No	No	No	2	2	2	2	2	2
1837	Y has just told X that he/she is considering switching his/her job.	Are you interested in a new industry?	I am interested in a new industry .	I'll do anything that pays more.	Yes, subject to some conditions#Yes#Probably yes / sometimes yes#Yes#Yes	Yes	Yes	1	3	1	1	1	1
1838	X wants to know what sorts of books Y likes to read.	I have this great autobiography, if that is the sort of thing you would be interested in?	You have have this great autobiography , if that is the sort of thing I would be interested in .	I prefer to read fiction novels.	Probably no#No#No#In the middle, neither yes nor no#No	No	No	2	2	2	2	4	2
1839	Y has just moved into a neighbourhood and meets his/her new neighbour X.	What city did you move from?	I did I move from .	I moved from Dallas.	In the middle, neither yes nor no#Other#Other#Other#I am not sure how X will interpret Y’s answer	Other	Other	5	4	5	5	5	4
1840	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Did you go to college?	I did go to college .	I got my degree online.	Yes#Yes#Yes#Yes, subject to some conditions#No	Yes	Yes	1	1	1	1	3	2
1841	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you still live at the same neighborhood?	I live at the same neighborhood .	Not for the last 10 years.	No#No#No#No#No	No	No	2	2	2	2	2	2
1842	Y has just told X that he/she is considering switching his/her job.	Do you have experience managing others in your current job?	I have experience managing others in my current job .	I have some experience	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1843	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Are you planning on living here for a long time?	I am planning on living here for a long time .	I'm hoping to stay for 10 years  or more.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1844	Y has just travelled from a different city to meet X.	Do you like reuben sandwiches?	I like reuben sandwiches .	Meat and cheese are my favorite.	No#Yes#No#In the middle, neither yes nor no#Yes			6	2	1	2	4	1
1845	Y has just told X that he/she is thinking of buying a flat in New York.	Are you looking at an expensive apartment?	I am looking at an expensive apartment .	My budget is pretty low.	Probably no#No#No#Probably no#No	No	No	2	2	2	2	2	2
1846	X wants to know what activities Y likes to do during weekends.	Can you shoot pool?	I can shoot pool .	I'm a shark.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1847	Y has just travelled from a different city to meet X.	Would you like to meet up with my family later?	I would like to meet up with my family .	It's been so long since I've seen them.	Yes#I am not sure how X will interpret Y’s answer#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes	Probably yes / sometimes yes	Yes	1	1	4	1	1	1
1848	X wants to know what activities Y likes to do during weekends.	Are you interested in going to the concert on Sunday?	I am interested in going to the concert on Sunday .	I'll go if they play country music.	Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	3	3	3
1849	X wants to know about Y's food preferences.	Do you eat red meat?	I eat red meat .	When it's available.	Yes#Probably yes / sometimes yes#Yes#Yes#Yes, subject to some conditions	Yes	Yes	1	1	1	1	1	3
1850	X wants to know about Y's food preferences.	How often do you eat spicy food?	I do I eat spicy food .	Spicy food makes me sick.	Other#Other#No#No#I am not sure how X will interpret Y’s answer			6	5	5	2	2	4
1851	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Did you like that sushi place we tried the other night?	I did like that sushi place we tried the other night .	It was pretty nice	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1852	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you like cats?	I like cats .	I'm a dog person.	No#No#No#No#No	No	No	2	2	2	2	2	2
1853	Y has just told X that he/she is thinking of buying a flat in New York.	Do you know where it is?	I know where it is .	I don't think I do	No#Probably no#In the middle, neither yes nor no#No#Probably no		No	2	2	2	4	2	2
1854	X wants to know what sorts of books Y likes to read.	Have you ever read The Education?	I have read The Education .	It doesn't ring a bell.	No#Probably no#Probably no#Probably no#Probably no	Probably no	No	2	2	2	2	2	2
1855	X wants to know what sorts of books Y likes to read.	Do you prefer short stories over novels?	I prefer short stories over novels .	I prefer a longer read.	No#No#No#No#No	No	No	2	2	2	2	2	2
1856	X wants to know about Y's food preferences.	Would you eat Mediterranean food?	I would eat Mediterranean food .	If it is low fat.	Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	3	3	3
1857	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Where do you work?	I do I work .	I work in town.	Other#I am not sure how X will interpret Y’s answer#In the middle, neither yes nor no#Other#Yes			6	5	4	4	5	1
1858	Y has just told X that he/she is considering switching his/her job.	Do you have difficulty completing all your assigned work?	I have difficulty completing all my assigned work .	I'm good at getting it done.	No#No#No#Yes#No	No	No	2	2	2	2	1	2
1859	Y has just told X that he/she is thinking of buying a flat in New York.	Is the school district good?	The school district is good .	I am very unhappy with the curriculum.	Probably no#No#In the middle, neither yes nor no#No#In the middle, neither yes nor no		No	2	2	2	4	2	4
1860	X wants to know what activities Y likes to do during weekends.	Are you afraid of heights?	I am afraid of heights .	Heights don't scare me.	No#No#No#No#No	No	No	2	2	2	2	2	2
1861	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you smoke a lot?	I smoke a lot .	Only when I am stressed.	Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#No#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	3	2	3
1862	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you have any family close by?	I have family close by .	Everyone lives across the country.	No#No#No#No#No	No	No	2	2	2	2	2	2
1863	X wants to know what activities Y likes to do during weekends.	Are you a sports fan?	I am a sports fan .	I love the Cowboys.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1864	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Would you like to talk about sports?	I would like to talk about sports .	Ask me any baseball stat and I'll know it.	Yes#Yes#Yes#Yes#Yes, subject to some conditions	Yes	Yes	1	1	1	1	1	3
1865	Y has just travelled from a different city to meet X.	Are you still planning to retire next year?	I am planning to retire next year .	I am too broke.	Probably no#No#No#No#No	No	No	2	2	2	2	2	2
1866	Y has just told X that he/she is considering switching his/her job.	Was your job stressful?	My job was stressful .	It was very demanding.	Yes#Probably yes / sometimes yes#Yes#Probably yes / sometimes yes#Probably yes / sometimes yes	Probably yes / sometimes yes	Yes	1	1	1	1	1	1
1867	X wants to know what activities Y likes to do during weekends.	are you outdoorsy?	I am outdoorsy .	I'm more into video games.	No#No#Probably no#No#No	No	No	2	2	2	2	2	2
1868	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Have you moved from out of town?	I have moved from out of town .	I moved in from the next town over.	Yes#Yes#I am not sure how X will interpret Y’s answer#Yes#Yes	Yes	Yes	1	1	1	4	1	1
1869	X wants to know what sorts of books Y likes to read.	Do you like e-readers?	I like e-readers .	I prefer to read a proper book.	Probably no#No#In the middle, neither yes nor no#No#No	No	No	2	2	2	4	2	2
1870	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you still live around here?	I live around here .	I'll probably stay here forever.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1871	X and Y are colleagues who are leaving work on a Friday at the same time.	Want to go dancing tonight?	I want to go dancing tonight .	If the music has a good beat then I'm in.	Yes, subject to some conditions#Yes, subject to some conditions#Probably yes / sometimes yes#Probably yes / sometimes yes#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	1	1	3
1872	X wants to know what activities Y likes to do during weekends.	Do you like going to movies?	I like going to movies .	I go to the cinema often.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1873	X wants to know what activities Y likes to do during weekends.	Do you like being active?	I like being active .	I only work out because my doctor makes me.	No#No#No#Yes#No	No	No	2	2	2	2	1	2
1874	X wants to know what activities Y likes to do during weekends.	Have you tried the Kahiti Golf course?	I have tried the Kahiti Golf course .	I love to play golf on the bermuda grass of USA courses.	In the middle, neither yes nor no#Probably no#Yes#In the middle, neither yes nor no#I am not sure how X will interpret Y’s answer		In the middle, neither yes nor no	4	4	2	1	4	4
1875	Y has just moved into a neighbourhood and meets his/her new neighbour X.	where did you move from?	I did I move from .	Another state	Other#Other#Other#In the middle, neither yes nor no#Other	Other	Other	5	5	5	5	4	5
1876	X wants to know about Y's food preferences.	Do you like asian food?	I like asian food .	Thai is my favorite.	Probably yes / sometimes yes#Probably yes / sometimes yes#Yes#Yes, subject to some conditions#Yes, subject to some conditions		Yes	1	1	1	1	3	3
1877	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Have you improved your English skills since childhood?	I have improved my English skills since childhood .	I'm fluent now.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1878	X wants to know about Y's food preferences.	Do you like eating fast food?	I like eating fast food .	It makes me feel depressed.	No#No#Probably no#Probably no#No	No	No	2	2	2	2	2	2
1879	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you have any plans tonight?	I have plans tonight .	I am free at the minute	No#No#No#No#No	No	No	2	2	2	2	2	2
1880	X wants to know what sorts of books Y likes to read.	Have you read Hunger Games yet?	I have read Hunger Games yet .	I haven't read the books, but I've seen the movies.	No#No#No#No#No	No	No	2	2	2	2	2	2
1881	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you have family around here?	I have family around here .	My cousin lives on the other side of town.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1882	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Does your work keep you interested?	My work does keep I interested .	I find it very engaging.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1883	Y has just told X that he/she is thinking of buying a flat in New York.	Did you get a job in that area?	I did get a job in that area .	I landed a gig last night!	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1884	Y has just told X that he/she is considering switching his/her job.	Are you thinking of going into the same field?	I am thinking of going into the same field .	I want to stay in this field.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1885	Y has just travelled from a different city to meet X.	Are you staying in a hotel?	I am staying in a hotel .	I thought I was staying with you!	No#I am not sure how X will interpret Y’s answer#No#Probably no#No	No	No	2	2	4	2	2	2
